# milli_time node_id temp hum light
5489 132 2260 6496 22
5496 134 1762 6538 1
5531 46 1890 6754 18
5540 55 1885 6599 25
5560 65 1958 6532 37
5563 42 2509 6026 19
5584 63 1806 6538 25
5585 73 1902 6610 45
5606 66 1882 6570 20
5656 82 2000 6526 20
5667 41 1813 6650 19
5684 40 2275 6173 15
5701 116 2067 6610 0
5713 122 1660 6830 20
5741 123 2242 6564 27
5749 83 1933 6586 22
5762 72 2148 6457 57
5768 43 2408 6083 12
5795 131 1741 6884 34
5797 135 1946 6568 22
5797 74 2327 6522 2
5814 129 2143 6602 23
5828 54 2028 6606 19
5832 71 2018 6485 26
5880 75 1927 6568 29
5887 81 2294 6476 1
5901 69 2381 6150 1
5902 76 1980 6513 2
5936 48 1688 6630 24
5955 136 2163 6573 20
5957 138 1533 6935 27
5964 133 1543 7025 27
5966 132 2258 6495 23
5973 137 2072 6613 4
5989 134 1760 6537 2
6025 46 1895 6756 19
6034 55 1886 6601 25
6038 65 1957 6530 40
6056 42 2511 6028 18
6063 73 1900 6606 45
6077 63 1806 6538 25
6084 66 1882 6570 20
6145 41 1812 6650 17
6150 82 2000 6524 19
6162 40 2274 6173 17
6196 116 2067 6612 1
6207 122 1657 6832 19
6228 83 1932 6584 22
6234 123 2244 6565 27
6256 72 2146 6455 54
6261 43 2407 6081 15
6274 135 1944 6570 23
6288 131 1743 6886 34
6291 74 2326 6521 2
6307 129 2144 6605 23
6322 54 2028 6605 22
6326 71 2018 6484 27
6374 75 1928 6569 32
6380 81 2295 6474 1
6395 69 2379 6148 4
6396 76 1980 6514 6
6414 48 1685 6630 21
6434 138 1535 6937 27
6448 136 2165 6575 21
6451 137 2073 6614 3
6458 133 1544 7029 23
6460 132 2259 6497 23
6467 134 1759 6537 2
6519 46 1899 6755 20
6528 55 1885 6598 25
6531 65 1957 6532 37
6550 42 2509 6026 23
6556 73 1901 6610 45
6571 63 1807 6539 25
6577 66 1883 6570 19
6639 41 1812 6651 23
6644 82 2000 6526 20
6657 40 2275 6174 16
6673 116 2066 6610 0
6684 122 1652 6830 19
6721 83 1932 6586 21
6727 123 2243 6563 28
6734 72 2148 6455 57
6738 43 2408 6084 16
6765 131 1742 6884 35
