# Time Mote_ID Temperature Motion CO2
82 4 369 2658 920
82 5 361 2573 894
83 0 370 2460 910
83 1 281 2566 909
83 2 262 2621 895
83 3 377 2306 993
83 4 369 2658 920
83 5 361 2555 894
84 0 370 2532 910
84 1 281 2564 909
84 2 262 2621 894
84 3 377 2356 993
84 4 369 2659 921
84 5 361 2589 894
85 0 370 2440 910
85 1 281 2564 907
85 2 262 2621 894
85 3 377 2304 993
85 4 369 2658 921
85 5 361 2569 894
86 0 370 2606 911
86 1 281 2564 907
86 2 262 2622 894
86 3 377 2335 993
86 4 369 2658 924
86 5 361 2608 894
87 0 370 2470 910
87 1 281 2564 908
87 2 262 2619 895
87 3 377 2342 993
87 4 369 2658 921
87 5 361 2532 966
88 0 370 2532 910
88 1 280 2565 907
88 2 263 2621 895
88 3 377 2302 993
88 4 369 2658 921
88 5 361 2628 890
89 0 370 2566 910
89 1 281 2564 908
89 2 262 2620 898
89 3 377 2317 993
89 4 369 2658 924
89 5 361 2620 967
90 0 370 2560 909
90 1 280 2565 907
90 2 262 2621 895
90 3 377 2302 993
90 4 369 2658 921
90 5 361 2551 894
91 0 370 2509 910
91 1 281 2563 907
91 2 262 2621 894
91 3 377 2295 993
91 5 361 2603 894
92 0 370 2552 909
92 1 281 2563 907
92 2 262 2622 894
92 3 377 2333 993
92 4 369 2656 921
92 5 361 2579 895
93 0 369 2519 911
93 1 280 2565 907
93 2 262 2620 894
93 3 377 2338 993
93 4 369 2658 923
93 5 361 2615 890
94 0 370 2506 910
94 1 280 2565 907
94 2 262 2621 894
94 3 377 2338 994
94 4 369 2658 921
94 5 361 2574 890
95 0 370 2540 909
95 1 280 2563 908
95 2 262 2621 895
95 3 377 2298 993
95 5 361 2587 890
96 0 370 2564 911
96 1 280 2564 907
96 2 262 2621 894
96 3 377 2364 993
96 4 369 2658 921
96 5 361 2550 894
97 0 370 2558 911
97 1 280 2564 909
97 2 262 2620 895
97 3 377 2277 993
97 4 369 2658 921
97 5 361 2596 894
98 0 370 2530 910
98 1 280 2563 907
98 2 262 2622 895
98 3 377 2307 994
98 5 361 2584 894
99 0 369 2487 910
99 1 280 2563 909
99 2 262 2620 895
99 3 377 2292 994
99 4 369 2658 923
99 5 361 2539 890
100 0 369 2503 909
100 1 280 2564 907
100 2 262 2622 895
100 3 377 2311 994
100 4 369 2657 921
100 5 361 2539 893
101 0 369 2507 909
101 1 279 2562 908
101 2 262 2621 895
101 3 377 2290 994
101 4 369 2658 921
